Timestamp,jp.snowlife01.android.hdcamera.MainActivity2,activity.NewsActivity,com.android.sears.activity.MenuDrawerActivity,app.bailbooks.com.CheckInPhoto,com.go.musix.ui.activity.MainActivity,com.coopervision.MainUI,com.netgear.WiFiAnalytics.WiFiAnalyticsWifiAnalyzerTab,com.panda.autochat.MyActivity,com.msearcher.camfind.activity.VoiceActivity,co.uk.alt236.android.lib.networkInfoIi.activities.MainActivity,co.uk.samsnyder.papro.MainActivity,com.adsdk.sdk.video.RichMediaActivity,com.android.stock.GoogleDriveJava,,com.appdevandroid.framework.cashregisterfree.ReportTab,com.comdata.comdatamobile.activity.MainMenuActivity,jp.snowlife01.android.hdcamera.Review,com.comdata.comdatamobile.activity.RegisterDeviceActivity,com.cube.arc.hzd.toolkit.MakePlanActivity,com.cy.browser.MainActivity,com.dating.mechat.SignUp,com.phonelocationtracker.track.MyLocationHistory - Copy,com.digby.android.cabela.MoreViewActivity,com.edgewalk.annabel.MainActivity,com.globalegrow.app.rosegal.view.activity.product.WriteReviewActivity,com.griffinmobile.usafmedcard.MedCardActivity,com.haz.prayer.AlarmDialog,com.itgc.info211.MainActivity,com.jessdev.hdcameras.activities.Camera,com.kaname.surya.android.strangecamera.message.MessageActivity,com.kusernames.KActivity,com.landstar.landstarconnect.FreightBillListing,com.lostpixels.fieldservice.EditVisitDialog,com.macrovideo.v380.SmartLinkQuickWifiConfigActivity,com.mercatustechnologies.android.sprouts.Main,com.mobileposse.client.mp5.lib.newsreader.ui.SplashActivity,com.mobileposse.client.mp5.lib.view.screen.InfoSupportScreen,com.MySmartPrice.MySmartPrice.DeepLinkActivity,com.nflate.sibi.activities.DynamicLinkActivity,com.noinnion.android.greader.ui.home.WelcomeActivity,com.northpark.drinkwater.guide.GuideActivity,com.northpark.drinkwater.settings.SimpleTimeSettingActivity,com.onerx.android.activities.WelcomeActivity,com.onsource.progressives.DamageActivity,com.onsource.progressives.LeftRearCornerActivity,com.PriceRhythm.Pages.RatingPage,com.privatesmsbox.ui.BuyNumber,com.qustodio.qustodioapp.ParentStatusActivity,com.redcirrus.iFlyPro.activities.AirlineInfoScreen,com.redcirrus.iFlyPro.activities.AirportStatusScreenActivity,com.redMountain.main.ExerciseActivity,com.rockmyrun.rockmyrun.ForgotPasswordActivity,com.row52.app.activities.HomeActivity,com.sentrilock.sentrismart.ChangePassword,com.Shadowpuppets.NPRStations.Widget.WidgetSetupActivity,com.sherpashare.workers.UpdateCategoryActivity,com.sherpashare.workers.UpdateExpenseActivity,com.simplyhired.simplyandroid.SimplyHiredActivity,com.soyade.hangoutwith.SettingsActivity,com.earthquakemap.app.ui.activities.HomeActivity,main.java.com.iloiacono.what2wear.What2WearActivity,net.hubalek.android.worldclock.activities.SplashActivity,gpsfindme.benamati.it.InviaPosizioneActivity,com.versaedge.android.waits.NearMe,com.vaxtech.nextbus.dallas\com.vaxtech.nextbus.lib.activity.StopInfoActivity,com.phonelocationtracker.track.MyLocationHistory,com.mobileappsteam.weatherforecast.activities.MainActivity,com.mercatustechnologies.android.sprouts.Main,com.mercatustechnologies.android.sprouts.Main,,com.earthquakemap.app.ui.activities.HomeActivity,com.phonelocationtracker.track.MyLocationHistory,com.vaxtech.nextbus.lib.activity.RouteStopMapActivity,com.versaedge.android.waits.NearMe,main.java.com.iloiacono.what2wear.What2WearActivity,net.hubalek.android.worldclock.activities.SplashActivity,,com.earthquakemap.app.ui.activities.HomeActivity- Copy,net.hubalek.android.worldclock.activities.SplashActivity,com.phonelocationtracker.track.MyLocationHistory,com.earthquakemap.app.ui.activities.HomeActivity,com.vaxtech.nextbus.lib.activity.RouteStopMapActivity- Copy,com.versaedge.android.waits.NearMe- Copy,com.vaxtech.nextbus.lib.activity.RouteStopMapActivity - Copy,com.versaedge.android.waits.NearMe- Copy,net.hubalek.android.worldclock.activities.SplashActivity - Copy,com.seattleclouds.modules.rateandreview.NewRateAndCommentActivity - Copy,com.seattleclouds.modules.rateandreview.NewRateAndCommentActivity- Copy,com.revange.map.MapActivity,com.revange.map.MapActivity- Copy,com.handynorth.carnegie.Main,Now we are in the end of the survey. Do you feel it is easier for you to make Allow/Deny decision if you are provided with the information about which widget (or component of a widget) is actually using the requested location? ,com.sentrilock.sentrismart.ChangePIN,nativesdk.ad.adsdk.modules.activityad.rss.NewsActivity,Thanks so much for your help. Please provide us feedback if any. 
4/13/2017 20:32:10,Deny,Allow,Deny,Deny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2017 20:33:06,Deny,Deny,Allow,Allow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/17/2017 1:35:55,Deny,Deny,Deny,Deny,,,Access,Deny,Deny,Allow,Deny,Deny,,,,Allow,Deny,Allow,,Deny,Allow,No,Allow,,Deny,,,,Deny,Deny,Deny,Allow,,Allow,Deny,Deny,Deny,Deny,Deny,Deny,,,,,,Deny,,Deny,Allow,,,Deny,Allow,Deny,,,,Allow,,,,,Allow,,,,Allow,Deny,Deny,,Deny,Allow,Allow,Allow,Allow,,,Deny,Allow,Allow,Allow,Deny,Deny,Deny,Deny,Deny,Deny,Deny,Allow,Deny,Deny,Yes,Deny,,
4/18/2017 9:34:45,Allow,Deny,Allow,Allow,,,Access,Deny,Deny,Allow,Deny,Deny,,,,Allow,Deny,Deny,,Allow,Deny,Yes,Allow,,Deny,,,,Deny,Deny,Deny,Allow,,Deny,Allow,Deny,Deny,Allow,Deny,Deny,,,,,,Deny,,Deny,Allow,,,Allow,Allow,Deny,,,,Allow,,,,,Allow,,,,Allow,Allow,Allow,,Allow,Allow,Allow,Allow,Allow,,,Deny,Allow,Allow,Allow,Deny,Allow,Deny,Deny,Deny,Deny,Deny,Allow,Allow,Deny,Yes,Deny,,
4/18/2017 20:36:51,Allow,Deny,Deny,Deny,,,Deny,Allow,Deny,Allow,Allow,Deny,,,,Allow,Deny,Deny,,Deny,Deny,No,Deny,,Deny,,,,Deny,Deny,Allow,Deny,,Allow,Allow,Deny,Deny,Deny,Deny,Deny,,,,,,Deny,,Deny,Deny,,,Deny,Allow,Deny,,,,Deny,,,,,Allow,,,,Allow,Allow,Allow,,Deny,Allow,Allow,Allow,Allow,,,Deny,Allow,Allow,Allow,Deny,Deny,Deny,Deny,Deny,Deny,Deny,Allow,Allow,Deny,Yes,Deny,Deny,
4/19/2017 2:29:48,Deny,Deny,Deny,Deny,,,Deny,Deny,Deny,Deny,Deny,Deny,,,,Deny,Deny,Deny,,Deny,Deny,No,Deny,,Deny,,,,Deny,Deny,Deny,Deny,,Deny,Allow,Deny,Deny,Allow,Deny,Deny,,,,,,Deny,,Deny,Allow,,,Deny,Allow,Deny,,,,Deny,,,,,Deny,,,,Allow,Allow,Allow,,Allow,Allow,Deny,Allow,Allow,,,Deny,Allow,Allow,Allow,Deny,Deny,Deny,Deny,Allow,Deny,Deny,Allow,Allow,Deny,Yes,Deny,Deny,
4/19/2017 3:13:25,Allow,Deny,Deny,Deny,,,Deny,Deny,Allow,Deny,Allow,Deny,,,,Deny,Deny,Allow,,Allow,Deny,No,Deny,,Deny,,,,Allow,Deny,Deny,Allow,,Deny,Deny,Deny,Allow,Deny,Deny,Deny,,,,,,Deny,,Deny,Deny,,,Deny,Deny,Deny,,,,Deny,,,,,Allow,,,,Allow,Deny,Deny,,Allow,Allow,Allow,Deny,Allow,,,Deny,Deny,Allow,Allow,Deny,Deny,Deny,Deny,Deny,Deny,Allow,Allow,Deny,Deny,Yes,Deny,Deny,
4/19/2017 3:24:09,Deny,Deny,Deny,Deny,,,Deny,Deny,Deny,Deny,Deny,Deny,,,,Allow,Deny,Deny,,Deny,Deny,No,Deny,,Deny,,,,Deny,Deny,Deny,Deny,,Deny,Allow,Deny,Deny,Deny,Deny,Deny,,,,,,Deny,,Deny,Allow,,,Deny,Allow,Deny,,,,Allow,,,,,Deny,,,,Allow,Allow,Allow,,Allow,Allow,Allow,Allow,Allow,,,Deny,Allow,Allow,Allow,Deny,Deny,Deny,Deny,Deny,Deny,Deny,Allow,Deny,Deny,No,Deny,Deny,
4/19/2017 3:24:46,Allow,Deny,Allow,Deny,,,Access,Deny,Allow,Deny,Allow,Deny,,,,Deny,Deny,Allow,,Deny,Deny,Yes,Allow,,Deny,,,,Deny,Allow,Deny,Deny,,Deny,Allow,Deny,Allow,Allow,Allow,Deny,,,,,,Deny,,Deny,Deny,,,Deny,Allow,Deny,,,,Allow,,,,,Deny,,,,Allow,Allow,Deny,,Allow,Deny,Allow,Allow,Allow,,,Access,Allow,Deny,Allow,Deny,Allow,Deny,Allow,Allow,Allow,Deny,Allow,Allow,Allow,No,Deny,Deny,
4/19/2017 5:11:24,Allow,Deny,Allow,Deny,,,Access,Allow,Allow,Deny,Deny,Deny,,,,Deny,Deny,Allow,,Allow,Allow,No,Allow,,Allow,,,,Deny,Allow,Allow,Allow,,Deny,Deny,Allow,Deny,Allow,Deny,Deny,,,,,,Allow,,Deny,Allow,,,Allow,Deny,Deny,,,,Allow,,,,,Allow,,,,Allow,Deny,Deny,,Allow,Allow,Allow,Allow,Deny,,,Deny,Allow,Allow,Allow,Deny,Deny,Deny,Deny,Deny,Deny,Deny,Allow,Allow,Allow,Yes,Deny,Deny,
